objname,RAJ2000,DECJ2000,z_phot_DE,z_spec_DE,z_spec_SRC,r_mag_DE,g_mag_SRC,catalogue,catalogue_objname,catalogue_objid,duplicated,duplicated_objname,,,link to AGEL Measured Redshifts,link to Spectral Observations Tally,z_spec_SRC_Spectral_Observations_Tally,link to SDSS Spectra,z_spec from SDSS (deflector),Photometry Observations Tally,Proposal_ID (from Photometry Observations Tally),AGEL Measured Redshifts,Start date,End date,2d/1d spectra,Last Modified By,Last Modified
AGEL021325-074355A,33.3522,-7.7319,,0.717,3.48,,,Gavazzi2014_SL2S,021325-074355,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:41pm
AGEL221326-000946A,333.3591,-0.1629,0.31,0.338,3.45,,,Gavazzi2014_SL2S,221326-000946,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:33pm
AGEL085540-014730A,133.9172,-1.7918,0.43,0.365,3.39,,,Gavazzi2014_SL2S,085540-014730,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:09pm
AGEL095922+020639A,149.8407,2.1107,0.46,0.552,3.35,,,Gavazzi2014_SL2S,095921+020638,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:11pm
AGEL003727-413150A,9.3628,-41.53054,0.67,0.708,3.259,21.85,22.11,Jacobs+2019_DES,DESJ0037-4131,154676430,Diehl+2017,J0037-4131,,,AGEL003727-413150A,    AGEL003727-413150A,3.259,,,    AGEL003727-413150A,SOAR,,,,,Tania Barone,4/2/2022 3:18pm
AGEL085019-034711A,132.5795,-3.7863,0.33,0.337,3.25,,,Gavazzi2014_SL2S,085019-034710,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:08pm
AGEL142060+563008A,215.2494,56.5021,0.43,0.483,3.12,,,Gavazzi2014_SL2S,142059+563007,0,,,,,,,,AGEL142060+563008A,0.4823469,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL013719-083056A,24.3285,-8.51552,0.51,0.563,2.997,20.74,22.28,Jacobs+2019_DES,DESJ0137-0830,232424091,Jacobs+2019_DECaLS,DCLS0137-0830,,,AGEL013719-083056A,AGEL013719-083056A,2.997,,,,,,,,"Screenshot from 2022-05-10 13-19-19.png (https://dl.airtable.com/.attachments/aff95947e10cc925e7e70ad9496aba85/5fdee48f/Screenshotfrom2022-05-1013-19-19.png),Screenshot from 2022-05-10 13-19-10.png (https://dl.airtable.com/.attachments/fa59efc9d355cec7c4421b9c44878bc1/5428dd27/Screenshotfrom2022-05-1013-19-10.png)",Tania Barone,13/1/2022 5:29pm
AGEL085560-040918A,133.9996,-4.1549,0.45,0.419,2.95,,,Gavazzi2014_SL2S,085559-040917,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:09pm
AGEL135950+553550A,209.9567,55.5973,0.89,0.783,2.77,,,Gavazzi2014_SL2S,135949+553550,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:21pm
