t1_ra,t1_dec,t1_name,ls_id,dec,ra,elat,elon,glat,glon,mjd_max,mjd_min,ref_id,brickid,blob_nea_g,blob_nea_r,blob_nea_z,bx,by,dchisq_1,dchisq_2,dchisq_3,dchisq_4,dchisq_5,dec_ivar,dered_flux_g,dered_flux_r,dered_flux_w1,dered_flux_w2,dered_flux_w3,dered_flux_w4,dered_flux_z,dered_mag_g,dered_mag_r,dered_mag_w1,dered_mag_w2,dered_mag_w3,dered_mag_w4,dered_mag_z,ebv,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_w3,flux_w4,flux_z,fracflux_g,fracflux_r,fracflux_w1,fracflux_w2,fracflux_w3,fracflux_w4,fracflux_z,fracin_g,fracin_r,fracin_z,fracmasked_g,fracmasked_r,fracmasked_z,gaia_a_g_val,gaia_astrometric_excess_noise,gaia_astrometric_excess_noise_sig,gaia_astrometric_sigma5d_max,gaia_astrometric_weight_al,gaia_e_bp_min_rp_val,gaia_phot_bp_mean_flux_over_error,gaia_phot_bp_mean_mag,gaia_phot_bp_rp_excess_factor,gaia_phot_g_mean_flux_over_error,gaia_phot_g_mean_mag,gaia_phot_rp_mean_flux_over_error,gaia_phot_rp_mean_mag,galdepth_g,galdepth_r,galdepth_z,g_r,htm9,mag_g,mag_r,mag_w1,mag_w2,mag_w3,mag_w4,mag_z,mw_transmission_g,mw_transmission_r,mw_transmission_w1,mw_transmission_w2,mw_transmission_w3,mw_transmission_w4,mw_transmission_z,nea_g,nea_r,nea_z,nest4096,objid,parallax_ivar,parallax,pmdec_ivar,pmdec,pmra_ivar,pmra,psfdepth_g,psfdepth_r,psfdepth_w1,psfdepth_w2,psfdepth_w3,psfdepth_w4,psfdepth_z,psfsize_g,psfsize_r,psfsize_z,ra_ivar,random_id,rchisq_g,rchisq_r,rchisq_w1,rchisq_w2,rchisq_w3,rchisq_w4,rchisq_z,ref_epoch,ring256,r_z,sersic_ivar,sersic,shape_e1_ivar,shape_e1,shape_e2_ivar,shape_e2,shape_r_ivar,shape_r,snr_g,snr_r,snr_w1,snr_w2,snr_w3,snr_w4,snr_z,w1_w2,w2_w3,w3_w4,wise_x,wise_y,z_w1,allmask_g,allmask_r,allmask_z,anymask_g,anymask_r,anymask_z,brick_primary,fitbits,gaia_astrometric_n_good_obs_al,gaia_astrometric_n_obs_al,gaia_astrometric_params_solved,gaia_duplicated_source,gaia_phot_bp_n_obs,gaia_phot_g_n_obs,gaia_phot_rp_n_obs,gaia_phot_variable_flag,maskbits,nobs_g,nobs_r,nobs_w1,nobs_w2,nobs_w3,nobs_w4,nobs_z,release,wisemask_w1,wisemask_w2,brickname,ref_cat,type,wise_coadd_id,dist_arcsec
3.29,0.6677,AGEL001310+004004,9906621701228427,0.6676428820912864,3.2901807839274975,-0.6954318788813185,3.2844323913500086,-60.71897242079046,103.0628699775033,58409.17241712073,56543.1885846526,0,334701,20.53324,17.480753,16.965132,2964.878,667.88477,28132.227,47234.23,45674.863,47269.88,0,2.849621e+11,3.438642,6.255504,50.06262,19.670345,357.92072,-19388.84,17.122469,21.159033,20.509344,18.251217,19.26547,16.115534,NaN,19.416084,0.029314,0.768015,1.437292,4.036781,0.779685,1.448859,4.036781,3.152836,1142.1312,539.39624,2.014933,0.53692,0.000599,8e-06,62.332726,5.900336,49.814533,19.610426,357.6879,-19384.078,16.571693,0.073526,0.035966,0.155447,0.653118,0.955123,1.020473,-0.009367,0.999995,0.999996,0.999994,0.003792,0.002375,0.01047,0,0,0,0,0,0,0,0,0,0,0,0,0,3093.9429,1698.6213,203.47633,0.680439,4063665,21.253246,20.572807,18.256609,19.268782,16.11624,NaN,19.451582,0.916884,0.943223,0.995045,0.996954,0.99935,0.999754,0.967833,20.532856,17.48053,16.964842,74106345,1931,0,0,0,0,0,0,4859.828,3091.6313,3.909624,0.701516,0.000657,7e-06,428.27386,1.536631,1.223634,1.077048,2.8923488e+11,46.31144,1.598818,1.464508,1.062927,0.498159,0.54062,0.076607,2.04349,0,388617,1.121225,0,1,0,0,0,0,29051.432,1.135382,106.55146,137.03476,70.71089,14.36951,8.75579,-54.197067,130.8353,-1.012173,3.152542,NaN,282.66473,63.55804,1.194973,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9,195,185,12,11,9,9010,0,0,0033p007,"",REX,0030p000,0.6824905598404968
3.29,0.6677,AGEL001310+004004,9906621701228425,0.6680244452375556,3.290164268930005,-0.6950751395228526,3.2845687838419404,-60.718603738746296,103.06307378793767,58409.17241712073,56543.1885846526,0,334701,5.331485,3.358056,2.588439,2965.1047,673.1276,427.18243,405.27182,413.34103,407.49442,0,1.1828457e+10,0.267515,0.257743,-3.346848,4.828635,-253.81361,15675.77,-0.224883,23.931631,23.972033,NaN,20.79044,NaN,12.011928,NaN,0.029308,0.191063,0.189371,0,0.482027,0.733892,1.529343,0.245284,4348.1157,2855.7236,2.383553,0.608154,0.00066,8e-06,421.38156,0.243112,-3.330266,4.813929,-253.64854,15671.919,-0.217651,3.466613,4.072508,15.164213,4.837653,1.191382,0.982978,9.883956,1,1,1,0.004986,0.00395,0.016205,0,0,0,0,0,0,0,0,0,0,0,0,0,3093.9429,1698.6213,203.47633,-0.009659,4063665,24.025827,24.035486,NaN,20.79375,NaN,12.012195,NaN,0.916898,0.943233,0.995045,0.996954,0.99935,0.999754,0.967839,5.331357,3.357987,2.588375,74106345,1929,0,0,0,0,0,0,4859.828,3091.6313,3.909624,0.701516,0.000657,7e-06,428.27386,1.536631,1.223634,1.077048,1.2292619e+10,65.19288,1.406311,1.253758,1.239692,0.562073,0.531996,0.076763,1.375063,0,388617,NaN,0,0,0,0,0,0,0,0,16.174072,12.99164,-5.141517,3.754106,-6.514047,44.571842,-4.467844,NaN,NaN,NaN,282.68634,64.05761,NaN,0,0,0,0,0,0,1,8192,0,0,0,0,0,0,0,0,0,12,9,195,185,12,11,9,9010,0,0,0033p007,"",PSF,0030p000,1.3091598229040589
3.29,0.6677,AGEL001310+004004,9906621701228459,0.6668045418063439,3.2908878805383237,-0.696482073420246,3.2847483635159502,-60.71998536475358,103.06372939571251,58409.17241712073,56543.1885846526,0,334701,5.333077,3.357081,2.587356,2955.1628,656.36536,65.73481,65.747925,0,0,0,1.9037985e+09,0.081636,0.107749,1.509259,5.549887,-211.00488,9302.225,0.13909,25.220291,24.918966,22.053091,20.63929,NaN,12.578533,24.641758,0.029333,0.05825,0.079092,0.104763,0.065169,0.092773,0.141117,0.074847,4806.1006,3084.7385,2.552982,0.619209,0.000662,8e-06,432.888,0.101627,1.501775,5.532969,-210.86754,9299.938,0.134613,1.247147,0.649854,26.61431,3.593462,1.396143,0.999572,0.988938,1,1,1,0.002125,0.001409,0.002468,0,0,0,0,0,0,0,0,0,0,0,0,0,3093.9429,1698.6213,203.47633,0.332096,4063665,25.314568,24.982471,22.058489,20.642605,NaN,12.5788,24.677279,0.916831,0.943187,0.995041,0.996952,0.999349,0.999754,0.967812,5.332959,3.357017,2.587304,74106339,1963,0,0,0,0,0,0,4859.828,3091.6313,3.909624,0.701516,0.000657,7e-06,428.27386,1.536631,1.223634,1.077048,1.9679624e+09,40.78578,1.122173,1.102521,0.385846,0.259111,0.548729,0.079996,1.08749,0,388617,0.305193,0,0,0,0,0,0,0,0,5.18883,5.644433,2.399544,4.353884,-5.424958,26.466682,2.800761,1.415884,NaN,NaN,281.73904,62.460464,2.61879,0,0,0,0,0,0,1,8192,0,0,0,0,0,0,0,0,0,12,9,194,184,12,11,9,9010,0,0,0033p007,"",PSF,0030p000,4.539527650321914
3.6013,0.696,AGEL001424+004145,9906621701295517,0.6952972361858902,3.600245849170302,-0.7931667577778436,3.579989765337226,-60.784952278933936,103.68548061896647,58409.17241712073,56543.1885846526,0,334702,9.92269,7.451349,7.205704,2139.6084,1047.8596,53.81411,58.97276,60.79917,59.57637,0,8.8106195e+08,0.025195,0.128571,1.9008,-0.065523,134.43568,-20234.053,0.525033,26.496729,24.727139,21.802658,NaN,17.178713,NaN,23.199533,0.02457,0.010998,0.057473,0.23982,0.012896,0.064548,0.268029,0.023427,2392.3884,1382.9419,2.063886,0.522197,0.00064,7e-06,159.04807,0.122424,1.892902,-0.065355,134.3624,-20229.887,0.51084,3.13186,1.104498,45.93456,1225.6251,0.804059,1.013334,1.03715,0.916476,0.999837,0.999758,0.011072,0.012045,0.007196,0,0,0,0,0,0,0,0,0,0,0,0,0,2863.5776,1744.0792,199.962,1.795366,4063704,26.575699,24.780333,21.80718,NaN,17.179306,NaN,23.229286,0.92985,0.952187,0.995845,0.997446,0.999455,0.999794,0.972967,9.920776,7.451012,7.205229,74108995,3485,0,0,0,0,0,0,4494.0034,3224.3518,3.745206,0.676389,0.000601,7e-06,401.07376,1.52971,1.196195,1.126121,8.851626e+08,88.710045,1.102711,1.123291,0.724531,0.386785,0.547295,0.092304,1.046149,0,387594,1.551046,0,1,0,0,0,0,87.45242,0.569588,1.145874,4.552696,2.719386,-0.047228,3.400331,-53.395916,6.442425,NaN,NaN,NaN,203.73857,99.80172,1.422106,0,0,0,0,0,0,1,8192,0,0,0,0,0,0,0,0,0,11,9,185,178,12,10,9,9010,0,0,0036p007,"",REX,0030p000,4.560714312728477
3.6013,0.696,AGEL001424+004145,9906621701295531,0.6966404367781318,3.6005200552757195,-0.7920428208498503,3.5807747808977486,-60.783748625578276,103.6868249988947,58409.17241712073,56543.1885846526,0,334702,10.870211,8.319376,8.097339,2135.841,1066.3158,265.71194,311.9952,316.41254,316.8736,0,3.7530678e+09,0.19339,0.336792,-6.871676,-3.102761,-129.0746,3763.8345,0.959178,24.283916,23.681595,NaN,NaN,NaN,13.560924,22.545252,0.024548,0.077868,0.138864,0.404105,0.086998,0.171316,0.534122,0.179835,2152.0664,1228.6,1.536043,0.438006,0.000638,7e-06,141.05327,0.320703,-6.843148,-3.094844,-129.00429,3763.06,0.933272,1.294965,1.465807,23.131706,44.95696,1.687818,0.997453,2.068696,0.84612,0.899885,0.999579,0.004276,0.002202,0.002891,0,0,0,0,0,0,0,0,0,0,0,0,0,2863.5776,1744.0792,199.962,0.628073,4063704,24.362814,23.734741,NaN,NaN,NaN,13.561147,22.57498,0.92991,0.952229,0.995848,0.997448,0.999455,0.999794,0.972991,10.869028,8.317567,8.091182,74108995,3499,0,0,0,0,0,0,4494.0034,3224.3518,3.745206,0.676389,0.000601,7e-06,401.07376,1.52971,1.196195,1.126121,3.7227814e+09,88.48582,1.162635,1.222741,0.82559,0.437784,0.447981,0.101625,1.089724,0,387594,1.159761,0,1,0,0,0,0,370.40625,0.634532,8.342617,11.241098,-8.481208,-2.04823,-3.259713,9.904634,11.084084,NaN,NaN,NaN,203.37958,101.560486,NaN,0,0,0,0,0,0,1,8192,0,0,0,0,0,0,0,0,0,11,9,186,179,12,10,9,9010,0,0,0036p007,"",REX,0030p000,3.632939064090767
3.6013,0.696,AGEL001424+004145,9906621701295556,0.6960863838321365,3.6012063550164655,-0.7928237951890257,3.581184687776461,-60.78447962096693,103.68783609179485,58409.17241712073,56543.1885846526,0,334702,26.151817,22.978237,22.953167,2126.4116,1058.7029,62200.715,105743.734,108978.19,111483.25,111774.37,2.8799245e+11,2.91609,10.127438,102.44415,65.15521,358.46774,55935.29,39.699368,21.337997,19.986252,17.473782,17.965128,16.113874,10.630785,18.50304,0.024551,0.458161,1.629364,6.526357,0.460018,1.63114,6.58257,2.711679,849.1341,397.2246,1.096524,0.346482,0.000577,7e-06,46.21981,9.643584,102.01881,64.988945,358.27246,55923.78,38.627014,0.080194,0.028866,1.040618,1.747344,0.786384,0.995167,0.096041,0.846113,0.899918,0.999743,0.000882,0.000511,0.000827,0,0,0,0,0,0,0,0,0,0,0,0,0,2863.5776,1744.0792,199.962,1.377501,4063704,21.416904,20.039404,17.4783,17.967901,16.114466,10.631009,18.532772,0.929902,0.952224,0.995848,0.997448,0.999455,0.999794,0.972988,26.150976,22.9756,22.944239,74108995,3524,0,0,0,0,0,0,4494.0034,3224.3518,3.745206,0.676389,0.000601,7e-06,401.07376,1.52971,1.196195,1.126121,7.243702e+11,74.32419,1.257305,3.157377,0.972513,0.474354,0.466503,0.095736,5.377299,0,387594,1.506632,12234.014,0.614889,181105.14,0.27942,97427.3,0.104933,37525.715,1.852592,79.018074,192.2014,106.82903,38.254253,8.604585,144.47119,262.60635,-0.489601,1.853436,5.483457,202.48105,100.835144,1.054472,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,9,186,179,12,10,9,9010,0,0,0036p007,"",SER,0030p000,0.4586328688235666
3.6013,0.696,AGEL001424+004145,9906621701295580,0.6961708017527051,3.601725572510553,-0.7929524454851273,3.5816947586738306,-60.784551217054585,103.6889037149167,58409.17241712073,56543.1885846526,0,334702,11.02597,8.201132,7.80485,2119.2778,1059.8628,528.5638,556.6764,698.0684,712.40936,715.5684,1.0117983e+10,0.172824,0.291223,22.041473,29.728054,-230.92291,-34915.156,2.115458,24.405989,23.839436,19.1419,18.817083,NaN,NaN,21.68649,0.024546,0.067116,0.115809,0.859585,0.157423,0.438116,2.145853,0.160712,2074.2468,1196.8759,1.265864,0.387853,0.000629,7e-06,141.3623,0.277312,21.949976,29.652206,-230.79713,-34907.973,2.058327,4.510564,6.460852,7.441419,4.464235,1.353022,1.009499,3.288507,0.846147,0.899972,0.99988,0.001385,0.000443,0.000784,0,0,0,0,0,0,0,0,0,0,0,0,0,2863.5776,1744.0792,199.962,0.5923,4063704,24.484877,23.892576,19.146416,18.819857,NaN,NaN,21.716213,0.929917,0.952234,0.995849,0.997449,0.999455,0.999794,0.972994,11.025704,8.200593,7.803115,74108995,3548,0,0,0,0,0,0,4494.0034,3224.3518,3.745206,0.676389,0.000601,7e-06,401.07376,1.52971,1.196195,1.126121,1.5868319e+10,2.629185,1.251713,1.332379,1.061822,0.568583,0.450948,0.096772,1.64836,0,387594,2.176363,0,1,245.44505,0.25892,166.91803,-0.688935,241.57507,1.104405,7.319464,9.59387,24.696056,18.466751,-5.786908,-91.628815,24.472666,0.326559,NaN,NaN,201.80128,100.94576,2.569798,0,0,0,0,0,0,1,8192,0,0,0,0,0,0,0,0,0,11,9,186,179,12,10,9,9010,0,0,0036p007,"",EXP,0030p000,1.650742188219313
3.6013,0.696,AGEL001424+004145,9906621701295554,0.6965080011654555,3.6011643730996727,-0.7924201655473755,3.5813135663537325,-60.78406423854402,103.68800726889899,58409.17241712073,56543.1885846526,0,334702,5.33264,3.265032,2.85261,2126.9883,1064.4961,2000.5758,1788.705,1986.0638,1995.7479,0,7.036152e+10,0.054133,0.019996,65.50805,71.92255,37.819153,-28161.41,2.261669,25.666353,26.74762,17.959263,17.857838,18.555721,NaN,21.613928,0.024545,0.039126,0.0148,1.710404,0.311061,0.973362,5.565097,0.050339,4094.683,2798.6045,1.307415,0.403989,0.000661,7e-06,358.724,0.019041,65.23613,71.73905,37.798553,-28155.617,2.200592,13.707726,83.93215,1.804742,1.270618,2.462765,1.014518,2.580408,0.916644,0.999917,0.99966,0.000829,0.00054,0.001192,0,0,0,0,0,0,0,0,0,0,0,0,0,2863.5776,1744.0792,199.962,-1.055519,4063704,25.745241,26.80076,17.96378,17.860611,18.556313,NaN,21.643652,0.929919,0.952235,0.995849,0.997449,0.999455,0.999794,0.972995,5.332304,3.26455,2.850741,74108995,3522,0,0,0,0,0,0,4494.0034,3224.3518,3.745206,0.676389,0.000601,7e-06,401.07376,1.52971,1.196195,1.126121,6.832611e+10,7.195647,1.302453,1.825057,0.921721,0.48206,0.455305,0.105531,2.969576,0,387594,5.157108,0,0,0,0,0,0,0,0,3.221171,1.007319,74.59245,45.597454,0.971449,-74.66651,41.679234,0.103168,-0.695702,NaN,202.53603,101.387184,3.679873,0,0,0,0,0,0,1,8192,0,0,0,0,0,0,0,0,0,11,9,186,179,12,10,9,9010,0,0,0036p007,"",PSF,0030p000,1.8928508465013651
3.6013,0.696,AGEL001424+004145,9906621701295596,0.6964535894250338,3.602262874146854,-0.7929062101337735,3.5823001938654198,-60.78443846459098,103.69012597216766,58409.17241712073,56543.1885846526,0,334702,7.550536,5.289044,4.983123,2111.8955,1063.7483,11236.39,12041.638,12136.887,12044.956,0,2.4242789e+11,0.397141,1.759989,21.195065,12.838282,-26.960892,14252.521,5.727722,23.502636,21.886225,19.184414,19.728733,NaN,12.115271,20.605045,0.024537,0.220129,0.998936,3.321798,0.222096,1.005375,3.342612,0.369318,3030.1204,1764.4501,1.656485,0.458891,0.00065,7e-06,217.68729,1.675948,21.107111,12.805538,-26.946213,14249.591,5.57309,0.20398,0.05836,5.48483,8.633531,3.449918,0.982742,0.070319,0.846137,0.999932,0.999721,0.004376,0.001057,0.001697,0,0,0,0,0,0,0,0,0,0,0,0,0,2863.5776,1744.0792,199.962,1.642151,4063704,23.5815,21.939348,19.188929,19.731506,NaN,12.115494,20.63476,0.92994,0.95225,0.99585,0.99745,0.999456,0.999794,0.973003,7.55017,5.288401,4.980554,74108995,3564,0,0,0,0,0,0,4494.0034,3224.3518,3.745206,0.676389,0.000601,7e-06,401.07376,1.52971,1.196195,1.126121,2.416061e+11,20.935272,1.238395,1.122878,0.940784,0.692621,0.447893,0.092824,1.192859,0,387594,1.304588,0,1,0,0,0,0,20059.156,0.377434,20.329662,70.39881,27.165802,8.67466,-0.68715,37.763596,82.22665,-0.542578,NaN,NaN,201.09784,101.31612,1.445831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,9,187,178,12,10,9,9010,0,0,0036p007,"",REX,0030p000,3.8314776466183176
6.3642,10.1853,AGEL002527+101107,9906625271234874,10.18436825312801,6.363179657180742,6.824846371932006,9.88274331748817,-52.15893733890878,112.47373708701335,58371.17465780074,57324.11613810667,0,389175,21.471924,22.495157,24.050386,3296.9739,897.9452,13468.811,15229.676,15611.162,15246.662,15643.15,1.6963083e+11,1.867925,10.22252,38.31109,19.087574,-39.707436,3197.55,25.469479,21.821602,19.976105,18.541689,19.298122,NaN,13.737957,18.98495,0.119221,0.374591,2.300284,6.364118,0.401767,2.438109,6.740526,1.312469,434.63113,92.7462,1.153782,0.337214,0.00036,7e-06,18.194344,8.059587,37.544804,18.852198,-39.602497,3194.3564,22.298185,0.465503,0.345261,3.496488,5.102525,3.254997,1.073846,0.322729,0.99985,0.999845,0.999839,0.024439,0.024295,0.025217,0,0,0,0,0,0,0,0,0,0,0,0,0,1459.2366,354.57413,60.275845,1.970558,4079155,22.204777,20.234219,18.563625,19.311596,NaN,13.739041,19.129326,0.702635,0.788415,0.979998,0.987669,0.997357,0.999001,0.875487,21.467419,22.490355,24.044285,80067234,314,0,0,0,0,0,0,2536.6472,635.912,3.984845,0.706893,0.00047,8e-06,96.88174,1.32471,1.326438,1.464578,1.9560155e+11,89.357956,0.978141,1.040755,1.74041,0.579353,0.302145,0.077395,1.04372,0,323090,1.104893,33.35358,6,5188.304,0.111462,2435.7563,-0.038365,1269.7805,1.745517,27.362112,77.61772,40.328465,10.947492,-0.751281,8.380949,95.112526,-0.747971,NaN,NaN,313.7785,86.04485,0.565701,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,3,3,182,177,8,10,3,9010,0,0,0064p102,"",SER,0061p106,4.931737018621279
