t1_ra,t1_dec,t1_name,ls_id,dec,ra,elat,elon,glat,glon,mjd_max,mjd_min,ref_id,brickid,blob_nea_g,blob_nea_r,blob_nea_z,bx,by,dchisq_1,dchisq_2,dchisq_3,dchisq_4,dchisq_5,dec_ivar,dered_flux_g,dered_flux_r,dered_flux_w1,dered_flux_w2,dered_flux_w3,dered_flux_w4,dered_flux_z,dered_mag_g,dered_mag_r,dered_mag_w1,dered_mag_w2,dered_mag_w3,dered_mag_w4,dered_mag_z,ebv,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_w3,flux_w4,flux_z,fracflux_g,fracflux_r,fracflux_w1,fracflux_w2,fracflux_w3,fracflux_w4,fracflux_z,fracin_g,fracin_r,fracin_z,fracmasked_g,fracmasked_r,fracmasked_z,gaia_a_g_val,gaia_astrometric_excess_noise,gaia_astrometric_excess_noise_sig,gaia_astrometric_sigma5d_max,gaia_astrometric_weight_al,gaia_e_bp_min_rp_val,gaia_phot_bp_mean_flux_over_error,gaia_phot_bp_mean_mag,gaia_phot_bp_rp_excess_factor,gaia_phot_g_mean_flux_over_error,gaia_phot_g_mean_mag,gaia_phot_rp_mean_flux_over_error,gaia_phot_rp_mean_mag,galdepth_g,galdepth_r,galdepth_z,g_r,htm9,mag_g,mag_r,mag_w1,mag_w2,mag_w3,mag_w4,mag_z,mw_transmission_g,mw_transmission_r,mw_transmission_w1,mw_transmission_w2,mw_transmission_w3,mw_transmission_w4,mw_transmission_z,nea_g,nea_r,nea_z,nest4096,objid,parallax_ivar,parallax,pmdec_ivar,pmdec,pmra_ivar,pmra,psfdepth_g,psfdepth_r,psfdepth_w1,psfdepth_w2,psfdepth_w3,psfdepth_w4,psfdepth_z,psfsize_g,psfsize_r,psfsize_z,ra_ivar,random_id,rchisq_g,rchisq_r,rchisq_w1,rchisq_w2,rchisq_w3,rchisq_w4,rchisq_z,ref_epoch,ring256,r_z,sersic_ivar,sersic,shape_e1_ivar,shape_e1,shape_e2_ivar,shape_e2,shape_r_ivar,shape_r,snr_g,snr_r,snr_w1,snr_w2,snr_w3,snr_w4,snr_z,w1_w2,w2_w3,w3_w4,wise_x,wise_y,z_w1,allmask_g,allmask_r,allmask_z,anymask_g,anymask_r,anymask_z,brick_primary,fitbits,gaia_astrometric_n_good_obs_al,gaia_astrometric_n_obs_al,gaia_astrometric_params_solved,gaia_duplicated_source,gaia_phot_bp_n_obs,gaia_phot_g_n_obs,gaia_phot_rp_n_obs,gaia_phot_variable_flag,maskbits,nobs_g,nobs_r,nobs_w1,nobs_w2,nobs_w3,nobs_w4,nobs_z,release,wisemask_w1,wisemask_w2,brickname,ref_cat,type,wise_coadd_id,dist_arcsec
3.29,0.6677,AGEL001310+004004,9906621701228427,0.6676428820912864,3.2901807839274975,-0.6954318788813185,3.2844323913500086,-60.71897242079046,103.0628699775033,58409.17241712073,56543.1885846526,0,334701,20.53324,17.480753,16.965132,2964.878,667.88477,28132.227,47234.23,45674.863,47269.88,0,2.849621e+11,3.438642,6.255504,50.06262,19.670345,357.92072,-19388.84,17.122469,21.159033,20.509344,18.251217,19.26547,16.115534,NaN,19.416084,0.029314,0.768015,1.437292,4.036781,0.779685,1.448859,4.036781,3.152836,1142.1312,539.39624,2.014933,0.53692,0.000599,8e-06,62.332726,5.900336,49.814533,19.610426,357.6879,-19384.078,16.571693,0.073526,0.035966,0.155447,0.653118,0.955123,1.020473,-0.009367,0.999995,0.999996,0.999994,0.003792,0.002375,0.01047,0,0,0,0,0,0,0,0,0,0,0,0,0,3093.9429,1698.6213,203.47633,0.680439,4063665,21.253246,20.572807,18.256609,19.268782,16.11624,NaN,19.451582,0.916884,0.943223,0.995045,0.996954,0.99935,0.999754,0.967833,20.532856,17.48053,16.964842,74106345,1931,0,0,0,0,0,0,4859.828,3091.6313,3.909624,0.701516,0.000657,7e-06,428.27386,1.536631,1.223634,1.077048,2.8923488e+11,46.31144,1.598818,1.464508,1.062927,0.498159,0.54062,0.076607,2.04349,0,388617,1.121225,0,1,0,0,0,0,29051.432,1.135382,106.55146,137.03476,70.71089,14.36951,8.75579,-54.197067,130.8353,-1.012173,3.152542,NaN,282.66473,63.55804,1.194973,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9,195,185,12,11,9,9010,0,0,0033p007,"",REX,0030p000,0.6824905598404968
3.6013,0.696,AGEL001424+004145,9906621701295556,0.6960863838321365,3.6012063550164655,-0.7928237951890257,3.581184687776461,-60.78447962096693,103.68783609179485,58409.17241712073,56543.1885846526,0,334702,26.151817,22.978237,22.953167,2126.4116,1058.7029,62200.715,105743.734,108978.19,111483.25,111774.37,2.8799245e+11,2.91609,10.127438,102.44415,65.15521,358.46774,55935.29,39.699368,21.337997,19.986252,17.473782,17.965128,16.113874,10.630785,18.50304,0.024551,0.458161,1.629364,6.526357,0.460018,1.63114,6.58257,2.711679,849.1341,397.2246,1.096524,0.346482,0.000577,7e-06,46.21981,9.643584,102.01881,64.988945,358.27246,55923.78,38.627014,0.080194,0.028866,1.040618,1.747344,0.786384,0.995167,0.096041,0.846113,0.899918,0.999743,0.000882,0.000511,0.000827,0,0,0,0,0,0,0,0,0,0,0,0,0,2863.5776,1744.0792,199.962,1.377501,4063704,21.416904,20.039404,17.4783,17.967901,16.114466,10.631009,18.532772,0.929902,0.952224,0.995848,0.997448,0.999455,0.999794,0.972988,26.150976,22.9756,22.944239,74108995,3524,0,0,0,0,0,0,4494.0034,3224.3518,3.745206,0.676389,0.000601,7e-06,401.07376,1.52971,1.196195,1.126121,7.243702e+11,74.32419,1.257305,3.157377,0.972513,0.474354,0.466503,0.095736,5.377299,0,387594,1.506632,12234.014,0.614889,181105.14,0.27942,97427.3,0.104933,37525.715,1.852592,79.018074,192.2014,106.82903,38.254253,8.604585,144.47119,262.60635,-0.489601,1.853436,5.483457,202.48105,100.835144,1.054472,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,9,186,179,12,10,9,9010,0,0,0036p007,"",SER,0030p000,0.4586328688235666
6.3642,10.1853,AGEL002527+101107,9906625271234892,10.185281534758161,6.364339249638738,6.825229730750552,9.88416396291311,-52.15822375322987,112.47581659296065,58371.17465780074,57324.11613810667,0,389175,96.179756,99.8333,103.924675,3281.2874,910.48883,81414.33,111022.984,115963.836,111363.37,116184.21,8.891315e+11,13.520236,61.090298,213.55312,110.85385,-143.53033,-6461.145,150.27657,19.672539,18.035069,16.676235,17.388123,NaN,NaN,17.057772,0.119502,1.11195,5.639182,15.407669,1.135749,5.680464,15.454377,9.491896,89.23117,18.186268,0.412676,0.134404,0.000169,4e-06,3.95135,48.13753,209.27174,109.48366,-143.15012,-6454.677,131.5239,0.190855,0.105086,0.92215,1.406358,2.265071,1.222354,0.079005,0.863845,0.863935,0.863963,0.098166,0.097898,0.098868,0,0,0,0,0,0,0,0,0,0,0,0,0,1459.2366,354.57413,60.275845,1.762827,4079155,20.056618,18.29379,16.698223,17.401627,NaN,NaN,17.202488,0.702051,0.787973,0.979952,0.98764,0.997351,0.998999,0.875212,95.04293,99.35098,103.57826,80067234,332,0,0,0,0,0,0,2536.6472,635.912,3.984845,0.706893,0.00047,8e-06,96.88174,1.32471,1.326438,1.464578,7.792907e+11,87.76214,1.083904,1.100361,3.76579,1.041243,0.393612,0.086149,1.214713,0,323090,1.091303,1220.3157,6,70428.63,-0.089467,35803.535,0.026858,1107.8596,6.315585,89.66258,205.28424,134.4358,40.138004,-1.858361,-13.222086,261.44324,-0.703403,NaN,NaN,312.28516,87.24146,0.504265,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,3,3,181,177,8,10,3,9010,0,0,0064p102,"",SER,0061p106,0.49785664298680093
6.7504,-4.2232,AGEL002700-041324,9906619815305972,-4.223249946127188,6.7503438508531515,-6.557204475312689,4.5180438332546995,-66.36398561263601,107.58149671085617,58410.08986427074,56537.28323925259,0,305924,102.57519,97.668,95.598724,208.15565,2166.9392,141459.84,254271.64,266892.7,259445.77,266953.22,1.7255285e+12,8.98111,46.615044,221.44423,89.4543,256.3513,-26895.586,131.9435,20.116674,18.328684,16.636839,17.620996,16.477911,NaN,17.19903,0.035486,0.778542,4.181845,12.211565,0.78626,4.199522,12.251747,8.085537,130.08313,68.08451,0.521723,0.171914,0.000341,7e-06,8.608958,43.430515,220.11649,89.12453,256.14944,-26887.588,126.82312,0.220383,0.121867,0.429737,1.127195,1.590476,1.031999,0.100495,0.999367,0.999365,0.997915,0.022612,0.026705,0.022427,0,0,0,0,0,0,0,0,0,0,0,0,0,1942.5513,1319.5315,159.19855,1.825216,2099938,20.230728,18.405512,16.643368,17.625008,16.478767,NaN,17.242004,0.900283,0.931685,0.994004,0.996314,0.999213,0.999703,0.961193,102.5564,97.65255,95.339935,73578888,8948,0,0,0,0,0,0,3124.1172,2331.1887,3.759736,0.672465,0.000683,9e-06,314.84207,1.438756,1.279272,1.150576,1.0427757e+12,43.493507,1.074672,1.570266,1.671723,0.565141,0.364441,0.055511,1.994088,0,421395,1.163507,5176.669,3.250912,274358.03,-0.207983,126157.72,0.04387,7149.0864,5.006887,92.21877,358.35968,158.99106,36.953285,4.731071,-70.75126,372.11206,-0.98164,1.14624,NaN,19.994259,206.14275,0.598637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,173,167,14,14,7,9010,0,0,0066m042,"",SER,0060m046,0.27012583652470873
9.3629,-41.5305,AGEL003727-413150,9906607077197171,-41.53052039822997,9.362901670596791,-41.05266288007024,348.37197443083744,-75.31475297621579,313.3073937403082,58411.11548504075,56567.34701795259,0,111556,24.818932,19.952751,18.082441,3029.0884,1379.2853,16305.056,19932.738,20339.25,20061.715,20339.451,3.0111082e+11,0.958734,5.084486,61.7369,48.671654,-157.45425,-19040.668,20.292225,22.545755,20.734383,18.023638,18.281809,NaN,NaN,19.231676,0.015445,0.250529,1.348616,5.455879,0.251366,1.351044,5.462314,0.915886,561.51447,335.26996,1.792242,0.554325,0.000735,1e-05,31.716887,4.930277,61.575512,48.593475,-157.40028,-19038.203,19.945637,0.669249,0.225678,0.362264,0.171468,1.421732,0.991817,0.067541,0.999977,1,0.999992,0.029625,0.029245,0.029526,0,0,0,0,0,0,0,0,0,0,0,0,0,1747.7804,1263.4686,115.50524,1.827574,2329898,22.595396,20.767822,18.02648,18.283556,NaN,NaN,19.25038,0.955308,0.969671,0.997386,0.998394,0.999657,0.999871,0.98292,24.808977,19.947327,18.077528,145321235,1395,0,0,0,0,0,0,2672.5852,2337.2522,5.740308,1.048692,0.001046,1.3e-05,243.24382,1.554341,1.210204,1.062707,2.758572e+11,81.94457,1.067451,1.143982,0.727338,0.278998,0.486886,0.05652,1.009675,0,652826,1.517443,0,4,4736.1494,-0.049596,10120.247,0.198145,2862.656,1.635583,21.70311,90.275246,82.434,36.179314,-4.266646,-61.223705,112.32933,-0.257076,NaN,NaN,289.2603,131.39377,1.2239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,221,214,12,12,6,9010,0,0,0094m415,"",DEV,0098m409,0.07357151337660783
12.1133,3.1881,AGEL004827+031117,9906622647241842,3.1880288326490023,12.113400179726513,-1.8520905221262827,12.384248023210183,-59.67516861365073,121.45642164489998,58048.196637180736,56544.204628992586,0,349136,54.855183,51.422768,49.38505,2189.9968,947.99286,279891.88,456419.25,473781.94,462504.56,474098.47,3.634288e+12,11.791164,52.029823,149.21288,106.73957,315.984,-11343.305,114.95162,19.821108,18.20937,17.065485,17.429186,16.250837,NaN,17.348713,0.020296,1.665888,7.496486,16.860312,1.670152,7.50714,16.880722,11.103596,229.71048,113.429565,0.773705,0.227709,0.000228,5e-06,13.409236,49.96612,148.70052,106.51433,315.84167,-11341.375,112.37857,0.148666,0.07108,0.284731,0.209927,0.79331,1.014865,0.067857,0.807252,0.900098,0.796348,0.0266,0.027561,0.02803,0,0,0,0,0,0,0,0,0,0,0,0,0,2014.5181,1290.2385,124.57006,1.63303,4069978,19.886341,18.253311,17.06922,17.43148,16.251326,NaN,17.373291,0.941688,0.960336,0.996566,0.99789,0.99955,0.99983,0.977616,55.103382,51.462055,50.58253,74240270,3186,0,0,0,0,0,0,3385.7896,2284.316,3.151586,0.554986,0.000329,6e-06,231.21509,1.421743,1.300395,1.224825,2.545407e+12,52.605854,1.179178,1.87219,1.293796,0.382746,0.333666,0.062945,1.870743,0,370210,0.88002,9114.348,3.205311,389283.34,-0.160499,207934.08,0.041863,40569.867,3.029608,168.28835,532.15576,130.79771,50.827454,4.771738,-25.33814,411.51486,-0.362261,1.180155,NaN,208.14708,89.84086,0.304071,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9,159,151,7,9,7,9010,0,0,0121p032,"",SER,0121p030,0.44193177636794895
15.3658,-33.722,AGEL010128-334319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.6596,1.9824,AGEL010238+015857,9906622176303305,1.982442939424933,15.659685768979287,-4.333760377520454,15.18941884905698,-60.76446974490385,128.66921700589,58409.20728167074,56537.35940955259,0,341950,25.309275,23.464163,22.091301,1323.1868,1558.263,20616.129,34038.52,33756.64,34247.29,34248.72,1.7963346e+11,2.643775,5.636054,93.97108,57.284866,-436.761,2463.9219,22.63659,21.444439,20.622562,17.567514,18.1049,NaN,14.020932,19.112972,0.018842,0.484318,1.051446,4.293516,0.600922,1.207257,4.460239,2.500353,743.67224,407.27954,1.296599,0.373263,0.000539,9e-06,46.853714,5.428227,93.67149,57.17264,-436.57837,2463.533,22.165827,0.624006,0.344226,0.293353,0.451655,1.035565,1.012552,0.074122,0.899247,0.899251,0.999039,0.002517,0.004277,0.002626,0,0,0,0,0,0,0,0,0,0,0,0,0,2618.2627,1617.2207,206.86288,0.841642,4070872,21.504997,20.663355,17.570982,18.107029,NaN,14.021104,19.13579,0.945751,0.963125,0.996812,0.998041,0.999582,0.999842,0.979204,25.306173,23.46325,22.090456,73895174,6345,0,0,0,0,0,0,4122.452,2821.5054,3.276125,0.610258,0.000627,9e-06,432.10004,1.485037,1.28155,1.062587,2.2001893e+11,17.741266,1.784554,1.569545,1.814927,0.505423,0.47176,0.075937,2.085098,0,378412,1.527565,0,1,30607.42,0.064005,43347.535,-0.102039,15485.969,1.537095,68.18551,109.54796,106.662125,34.929756,-10.135422,7.310665,151.72458,-0.536047,NaN,NaN,126.3847,148.28156,1.564808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,146,145,11,12,8,9010,0,0,0156p020,"",EXP,0151p015,0.3451367324442517
19.4946,-5.4549,AGEL011759-052718,9906619348227460,-5.454943620942053,19.494413494749484,-12.67154004796265,15.88110403810582,-67.42398585678298,140.36558166124027,58382.254357120735,56546.2789831426,0,298797,6.123561,4.088771,2.357735,1274.9868,2418.5786,1644.1743,1461.1743,1392.2838,1538.2379,0,6.910721e+10,-0.043946,0.378094,38.552284,18.129793,-107.137955,4563.6626,1.837987,NaN,23.556,18.534874,19.354017,NaN,13.351716,21.839144,0.052094,0,0.264986,1.348482,0.136383,0.881115,3.386848,-0.037665,2536.0923,1760.5118,2.133182,0.611744,0.000965,1.3e-05,451.7245,0.34079,38.21343,18.031763,-107.01414,4561.6704,1.734236,15.732356,4.420409,0.919834,1.703875,0.848867,1.035369,1.733597,0.87547,0.857224,0.999318,0.001196,0.014334,0.003404,0,0,0,0,0,0,0,0,0,0,0,0,0,1753.478,1180.937,223.9758,NaN,2150782,NaN,23.668783,18.54446,19.359905,NaN,13.35219,21.90223,0.857093,0.901336,0.99121,0.994593,0.998844,0.999563,0.943552,6.124753,4.088883,2.355766,72235301,5508,0,0,0,0,0,0,2633.3918,2007.4127,4.009989,0.723941,0.000847,1.1e-05,493.42087,1.647229,1.346234,1.026171,7.095549e+10,65.36973,1.08501,1.569886,3.384067,1.181445,0.575263,0.061101,2.159166,0,429623,1.766554,0,0,0,0,0,0,0,0,-1.896819,14.299011,55.812298,14.10338,-3.324603,16.464577,36.859116,-0.815445,NaN,NaN,121.5831,230.64864,3.357769,0,0,0,0,0,0,1,8192,0,0,0,0,0,0,0,0,0,7,6,193,192,16,16,8,9010,0,0,0194m055,"",PSF,0197m061,0.6865781773825665
21.2213,-14.7174,AGEL012453-144303,9906615912629923,-14.7174194778835,21.221162417702168,-21.8604448400237,13.721605257247742,-75.34829706865176,156.71541865473918,58411.18966405074,56925.23658981259,0,246374,48.781506,45.04822,44.873394,2921.585,2246.9612,154719.03,220949.8,230225.84,221441.47,230226.36,2.0384369e+12,5.858031,28.144314,134.25128,72.11944,132.99005,-5343.557,72.29395,20.580622,18.876524,17.180204,17.85487,17.190453,NaN,17.852245,0.019335,0.925578,4.530699,11.83736,0.926227,4.531704,11.838121,5.532152,329.8973,179.92245,0.94254,0.28358,0.000605,1e-05,19.107718,27.07985,133.81209,71.97446,132.93298,-5342.691,70.75154,0.158309,0.035767,0.09635,0.238007,0.508578,0.941098,0.015538,0.932848,0.933257,0.93402,0.058604,0.057524,0.056995,0,0,0,0,0,0,0,0,0,0,0,0,0,2565.4167,1864.2542,158.48076,1.72438,2161525,20.642765,18.918385,17.183762,17.857054,17.190918,NaN,17.87566,0.944371,0.962178,0.996729,0.99799,0.999571,0.999838,0.978665,48.720573,44.995872,44.820606,71454179,1699,0,0,0,0,0,0,4325.7954,3542.4265,4.214148,0.743449,0.000879,1.1e-05,307.56573,1.374865,1.200633,1.184275,2.0962882e+12,72.19698,1.022435,1.092846,2.106354,0.743115,0.420873,0.078491,1.12072,0,493116,1.042725,0,4,73607,0.011737,170493.73,-0.088936,13825.106,2.823435,100.48089,363.23602,129.9108,38.327984,3.270113,-16.631292,309.2718,-0.673292,0.666136,NaN,278.5816,214.2026,0.691898,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,183,178,16,16,9,9010,0,0,0213m147,"",DEV,0219m152,0.48415063950587295
